Title,Genres,Difficulty,AI Reasoning
"Dark Skies","Science Fiction, Horror, Thriller","Hard Mode","A mid-tier supernatural horror film recognized primarily by horror genre enthusiasts."
"Transporter 2","Action, Crime, Thriller","Easy Mode","Part of a very famous mainstream action franchise starring Jason Statham."
"Get Him to the Greek","Comedy, Music","Easy Mode","A high-profile studio comedy that was a significant box office success upon release."
"The Boss Baby","Animation, Comedy, Family, Adventure","Easy Mode","A highly successful animated blockbuster with broad global family appeal."
"Mary Queen of Scots","Biography, Drama, History","Hard Mode","A historical drama that is well-regarded but primarily appeals to a specific audience."
"Hail, Caesar!","Comedy, Mystery, Crime","Hard Mode","A Coen brothers film that is known among cinephiles but lacks mainstream general audience recognition."
"Jack the Giant Slayer","Adventure, Fantasy, Action","Easy Mode","A high-budget fantasy film with significant global marketing and wide release."
"Flightplan","Mystery, Thriller, Drama","Easy Mode","A major Jodie Foster thriller that received extensive theatrical distribution."
"Beowulf","Animation, Action, Adventure, Fantasy","Hard Mode","A distinct motion-capture film that is somewhat polarizing and niche in its visual style."
"Red Dawn","Action, Drama, War","Easy Mode","A well-known action cult classic from the 80s with a recognized premise."
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fantasy, Adventure, Family","Easy Mode","Part of a massive, globally recognized fantasy franchise."
"Central Intelligence","Action, Comedy","Easy Mode","A highly popular action-comedy starring A-list actors."
"Blades of Glory","Comedy, Sport","Easy Mode","A widely viewed and recognizable comedy featuring Will Ferrell."
"Funny People","Comedy, Drama","Easy Mode","A well-known comedy directed by Judd Apatow starring Adam Sandler and Seth Rogen."
"Neighbors","Comedy","Easy Mode","A highly popular mainstream comedy featuring Seth Rogen and Zac Efron."
"My Best Friend's Wedding","Romance, Comedy","Easy Mode","An iconic 90s romantic comedy starring Julia Roberts with widespread recognition."
"Predator 2","Action, Sci-Fi, Horror, Thriller","Easy Mode","Part of a major global action franchise and a cult classic sequel."
"Shivers","Horror, Science Fiction","Hard Mode","An early David Cronenberg body-horror film, familiar to horror fans but less known to the general public."
"Meet the Fockers","Comedy, Romance","Easy Mode","A massive box-office hit and part of a highly recognizable comedy franchise."
"Clerks III","Comedy, Drama","Hard Mode","The third entry in a cult indie comedy series, primarily known by Kevin Smith's dedicated fanbase."
"The Family","Crime, Comedy, Action","Hard Mode","A crime comedy starring Robert De Niro, but generally considered a minor entry in his filmography."
"The Angry Birds Movie","Animation, Action, Adventure","Easy Mode","Based on a globally famous mobile game, reaching a massive family audience."
"Sleeping with the Enemy","Thriller, Drama","Easy Mode","A major commercial success from the early 90s starring Julia Roberts."
"Oz the Great and Powerful","Fantasy, Adventure, Family","Easy Mode","A major Disney blockbuster with massive marketing and a famous intellectual property."
"Spectral","Action, Sci-Fi, Thriller","Hard Mode","A Netflix original that gained moderate popularity but lacks the cultural footprint of a theatrical blockbuster."
"The Last Stand","Action, Thriller, Crime","Hard Mode","An Arnold Schwarzenegger vehicle that had moderate recognition but is not considered one of his iconic hits."
"A View to a Kill","Action, Adventure, Thriller","Easy Mode","Part of the globally recognized James Bond franchise."
"Once Upon a Time in Mexico","Action, Crime, Thriller","Easy Mode","A widely released Robert Rodriguez film featuring major stars like Antonio Banderas and Johnny Depp."
"Bachelor Party","Comedy","Hard Mode","A recognizable 80s comedy but significantly less culturally relevant today than its peers."
"Wolf","Horror, Drama, Romance","Hard Mode","A mid-tier 90s Jack Nicholson film that is often overlooked in his extensive filmography."
"The Burning","Horror, Slasher","Impossible Mode","A cult classic slasher film that remains obscure to the general public."
"Run Hide Fight","Action, Thriller, Drama","Impossible Mode","A highly controversial and limited-release project that flew under the radar for most audiences."
"Bright","Action, Fantasy, Crime","Hard Mode","A high-profile Netflix release that received significant initial attention but faded from public discourse quickly."
"Walking Tall","Action, Biography, Crime, Drama","Easy Mode","Well-known action film starring Dwayne Johnson."
"American Wedding","Comedy, Romance","Easy Mode","A mainstream blockbuster installment of the popular American Pie franchise."
"The Commuter","Action, Thriller, Mystery","Easy Mode","Widely released Liam Neeson thriller."
"Take Me Home Tonight","Comedy, Romance","Hard Mode","A cult-following comedy that is somewhat recognizable but not mainstream."
"The House of the Devil","Horror, Thriller, Mystery","Hard Mode","A highly regarded film within the independent horror community."
"#Alive","Horror, Thriller, Action","Hard Mode","A popular South Korean zombie film that gained traction on global streaming platforms."
"My Spy","Action, Comedy","Hard Mode","A family action-comedy that reached a niche audience through streaming."
"The American","Crime, Drama, Thriller","Hard Mode","A George Clooney film that is known but often overlooked compared to his bigger hits."
"Night of the Comet","Science Fiction, Horror, Comedy","Impossible Mode","A cult classic sci-fi film from the 1980s with limited mainstream cultural footprint."
"Wizards","Animation, Fantasy, Science Fiction","Impossible Mode","An experimental animated film by Ralph Bakshi known primarily by cinephiles."
"Horrible Bosses 2","Comedy, Crime","Easy Mode","A mainstream Hollywood comedy sequel starring major A-list actors."
"The Loft","Mystery, Thriller, Crime","Hard Mode","A psychological thriller that received limited theatrical distribution and mixed reviews."
"Rock Star","Drama, Music","Hard Mode","A mid-2000s musical drama that has faded from mainstream pop culture conversation."
"Rio 2","Animation, Adventure, Comedy, Family, Musical","Easy Mode","A high-profile animated franchise film with massive global box office success."
"Hotel Transylvania 3: Summer Vacation","Animation, Comedy, Family, Fantasy","Easy Mode","A very successful installment in a widely known animated family movie franchise."
"Barb and Star Go to Vista Del Mar","Comedy, Adventure","Hard Mode","A cult comedy that gained popularity through streaming and social media memes."
"Feel the Beat","Family, Comedy, Drama, Music","Hard Mode","A Netflix original film that is known primarily to subscribers of the platform."
"Crooked House","Mystery, Drama, Crime","Impossible Mode","An adaptation of an Agatha Christie novel that saw very limited international exposure."
"Doc Hollywood","Comedy, Romance","Hard Mode","A 90s film that has largely been relegated to cable television rotation."
"Irresistible","Comedy, Drama","Hard Mode","A political comedy released during the pandemic, resulting in limited public awareness."
"The Family Stone","Comedy, Drama, Romance","Easy Mode","Popular holiday film frequently aired on television."
"True Story","Drama, Mystery, Crime","Hard Mode","Mid-budget thriller that received moderate attention but lacks mainstream classic status."
"Summer Rental","Comedy","Hard Mode","A John Candy comedy that is well-known to comedy fans but not broadly iconic today."
"Entrapment","Action, Crime, Romance, Thriller","Easy Mode","High-profile thriller featuring major stars like Sean Connery and Catherine Zeta-Jones."
"Don't Say a Word","Psychological Thriller, Crime, Mystery","Hard Mode","A standard 2000s thriller that was moderately successful but is rarely discussed now."
"Sand Castle","War, Drama","Impossible Mode","A lower-profile Netflix original war drama with limited cultural footprint."
"All Good Things","Crime, Drama, Mystery","Hard Mode","An independent crime drama known primarily by film buffs and fans of the lead actors."
"Cloudy with a Chance of Meatballs 2","Animation, Adventure, Comedy, Family, Sci-Fi","Easy Mode","Highly successful animated sequel that is widely recognized globally."
"Henry & June","Biography, Drama, Romance","Impossible Mode","An arthouse biographical drama that is largely unknown to the general public."
"Major Payne","Comedy, Action, Family","Easy Mode","A 90s cult comedy that remains very popular in internet culture and nostalgia circles."
"License to Drive","Comedy, Teen","Hard Mode","A recognizable 80s teen comedy but lacks the global reach of major blockbusters."
"The Aftermath","Drama, Romance, War","Impossible Mode","Highly obscure title that is easily confused with multiple other films."
"Centurion","Action, Drama, History, War","Hard Mode","A niche historical action film with a cult following but limited mainstream awareness."
"Cargo","Drama, Horror, Thriller","Hard Mode","Known within horror circles, particularly the Netflix release, but not widely known by the general public."
"Ninja Assassin","Action, Martial Arts, Thriller","Easy Mode","Relatively well-known action movie featuring a major pop culture star."
"Love Hard","Romantic Comedy, Comedy","Easy Mode","Very popular Netflix rom-com with high visibility on the streaming platform."
"The Shack","Drama, Fantasy","Easy Mode","Based on a massive bestseller and achieved significant mainstream theatrical success."
"Revolver","Crime, Drama, Mystery","Hard Mode","Guy Ritchie's divisive project which is well-known to film buffs but not the general audience."
"The Rebound","Romance, Comedy","Impossible Mode","A direct-to-video or limited release rom-com that has very little cultural footprint."
"Queenpins","Comedy, Crime","Hard Mode","A recent comedy that received a fair amount of marketing but remains relatively niche."
"Look Both Ways","Comedy, Drama, Romance","Hard Mode","This is a smaller Australian drama that lacks broad mainstream global appeal."
"Free Fire","Action, Comedy, Crime","Hard Mode","An action-comedy with a cult following but limited box office reach."
"The Black Cauldron","Animation, Adventure, Family, Fantasy","Easy Mode","Widely known as a cult classic within the Disney animation library."
"Diary of a Wimpy Kid: Dog Days","Comedy, Family","Easy Mode","Part of a very successful and globally recognized family film franchise."
"No Reservations","Romance, Drama, Comedy","Easy Mode","A mainstream romantic comedy featuring A-list stars that received wide distribution."
"This Means War","Action, Comedy, Romance","Easy Mode","A high-profile studio action-comedy with major Hollywood stars."
"Dear John","Drama, Romance, War","Easy Mode","A very popular Nicholas Sparks adaptation that reached a massive global audience."
"The Invention of Lying","Comedy, Fantasy, Romance","Easy Mode","A high-concept comedy with a recognizable lead and significant marketing."
"Blue Streak","Action, Comedy, Crime","Easy Mode","A well-known 90s comedy hit that remains a staple on cable television."
"The Only Living Boy in New York","Drama, Romance","Hard Mode","A niche independent drama that did not achieve widespread mainstream success."
"Kimi","Crime, Drama, Thriller","Hard Mode","A mid-budget Steven Soderbergh thriller released on streaming that did not achieve massive mainstream cultural saturation."
"The Laundromat","Drama, Comedy, Crime","Hard Mode","Despite an A-list cast, this Netflix-distributed film had a muted cultural impact compared to blockbuster theatrical releases."
"Every Which Way But Loose","Action, Comedy","Easy Mode","A very successful 1970s Clint Eastwood comedy that remains a classic of that era."
"The Sentinel","Horror, Mystery, Thriller","Impossible Mode","A 1977 supernatural horror film that remains largely confined to niche genre fan circles."
"American Gigolo","Crime, Drama, Mystery","Easy Mode","A seminal Richard Gere film that is highly recognized for its cultural and fashion influence in the 1980s."
"Johnny English Reborn","Action, Adventure, Comedy","Easy Mode","Part of a globally recognized comedy franchise led by Rowan Atkinson."
"Austenland","Romance, Comedy","Hard Mode","A cult-following romantic comedy that reached a specific demographic but lacks broad mainstream awareness."
"Intolerable Cruelty","Comedy, Romance, Crime","Easy Mode","A well-known Coen Brothers romantic comedy featuring major stars like George Clooney and Catherine Zeta-Jones."
"Berlin Syndrome","Thriller, Drama, Psychological Horror","Impossible Mode","An Australian psychological thriller that did not receive wide global distribution or recognition."
"Bus Stop","Romance, Comedy, Drama","Easy Mode","A highly famous Marilyn Monroe film that is considered a staple of classic Hollywood cinema."
"The Principal","Action, Crime, Drama","Hard Mode","A mid-80s action film with moderate recognition among action fans but not widely known today."
"Womb","Drama, Sci-Fi, Romance","Impossible Mode","A very niche sci-fi drama featuring Matt Smith and Eva Green that lacks mainstream reach."
"Angus, Thongs and Perfect Snogging","Comedy, Drama, Romance","Easy Mode","A widely recognized teen romantic comedy that gained a cult following in the UK and internationally."
"Mr. Right","Action, Comedy, Romance","Easy Mode","Features mainstream stars like Sam Rockwell and Anna Kendrick, leading to higher general awareness."
"Tales from Earthsea","Animation, Fantasy, Adventure","Hard Mode","While Studio Ghibli is famous, this specific film is often considered the most obscure of their major catalog."
"Young Adult","Comedy, Drama","Easy Mode","A high-profile project directed by Jason Reitman and starring Charlize Theron with significant critical attention."
"Newness","Drama, Romance","Hard Mode","An indie romantic drama that garnered some attention due to the director and cast but remains relatively niche."
"Fast Food Nation","Drama, Thriller","Hard Mode","Well-known in documentary-adjacent circles but often overlooked as a narrative feature film."
"Deathgasm","Horror, Comedy, Music","Impossible Mode","A very specific, low-budget New Zealand horror-comedy that remains largely unknown to the general public."
"One Crazy Summer","Comedy, Romance","Hard Mode","A cult 80s comedy that is well-remembered by fans of John Cusack and Demi Moore's early work but lacks broad modern popularity."
"Rabid","Horror, Sci-Fi","Hard Mode","A cult horror film by David Cronenberg known primarily to genre enthusiasts."
"Osmosis Jones","Animation, Adventure, Comedy, Crime","Easy Mode","A widely broadcasted animated and live-action hybrid popular in the early 2000s."
"Threesome","Comedy, Drama, Romance","Hard Mode","A mid-90s indie comedy that is moderately recognizable but not mainstream."
"Throw Momma from the Train","Comedy, Crime","Easy Mode","A very famous 80s dark comedy starring Danny DeVito and Billy Crystal."
"Hoodlum","Crime, Drama, History","Hard Mode","A decent crime drama that is remembered by film buffs but lacks broad cultural awareness."
"Unlocked","Thriller, Mystery, Crime","Impossible Mode","A standard action-thriller that received very little marketing and recognition."
"Baby Boom","Comedy, Romance","Easy Mode","A classic 80s comedy starring Diane Keaton that achieved significant box office success."
"Project Almanac","Sci-Fi, Thriller, Found Footage","Hard Mode","A found-footage sci-fi film that had a specific target audience upon release."
"Delivery Man","Comedy, Drama","Easy Mode","A Vince Vaughn comedy that received a wide theatrical release and heavy television advertising."
"It Boy","Comedy, Romance","Impossible Mode","A French romantic comedy that remains largely obscure to English-speaking global audiences."
"Aniara","Sci-Fi, Drama","Impossible Mode","A Swedish science fiction film with a very niche cult following."
"Paycheck","Sci-Fi, Action, Thriller","Easy Mode","A mainstream Hollywood action-thriller starring Ben Affleck."
"Forever Young","Sci-Fi, Romance, Drama","Easy Mode","A well-known romantic drama starring Mel Gibson."
"The Dead Pool","Action, Crime, Thriller","Easy Mode","Part of the iconic Dirty Harry franchise starring Clint Eastwood."
"Underworld: Awakening","Action, Fantasy, Horror","Easy Mode","A high-profile installment in a globally recognized action-horror franchise."
"While We're Young","Comedy, Drama","Hard Mode","An indie-style comedy-drama with recognizable stars but modest reach."
"Screamers","Sci-Fi, Horror, Thriller","Hard Mode","A cult classic sci-fi film known primarily by genre enthusiasts."
"Elizabethtown","Comedy, Drama, Romance","Easy Mode","A widely distributed romantic comedy starring Orlando Bloom and Kirsten Dunst."
"Barbershop","Comedy, Drama","Easy Mode","A commercially successful and culturally significant comedy franchise."
"Because of Winn-Dixie","Family, Comedy, Drama","Easy Mode","A popular family-friendly film based on a very famous children's book."
"Evita","Musical, Drama, Biography","Easy Mode","A high-profile musical starring Madonna with significant international acclaim."
"Dead Snow","Horror, Comedy, Action","Hard Mode","A well-known cult hit within the horror genre, but not mainstream."
"Risen","Action, Adventure, Drama, Mystery","Hard Mode","A moderate production that received decent distribution but lacks global household status."
"The Fury","Sci-Fi, Horror, Thriller","Hard Mode","A cult classic directed by Brian De Palma recognized by film buffs but obscure to the general public."
"W.","Biography, Drama, History","Easy Mode","A biographical film about a prominent world leader directed by Oliver Stone."
"Mindhunters","Action, Crime, Mystery, Thriller","Hard Mode","A mid-budget thriller that had a theatrical release but faded from pop culture memory."
"Radioactive","Biography, Drama, Romance, History","Hard Mode","A biographical drama featuring a famous historical figure, but relatively niche in impact."
"Bill & Ted's Bogus Journey","Adventure, Comedy, Fantasy, Sci-Fi","Easy Mode","Part of a very popular and enduring mainstream comedy franchise."
"Cat's Eye","Horror, Anthology, Thriller","Hard Mode","A Stephen King anthology film known to horror fans but obscure to the average viewer."
"Radius","Sci-Fi, Thriller, Mystery","Impossible Mode","An independent sci-fi film with very limited distribution and minimal public awareness."
"About Last Night","Romance, Drama, Comedy","Easy Mode","Popular romantic comedy remake with high-profile cast."
"The November Man","Action, Thriller, Crime","Hard Mode","Moderate action thriller with Pierce Brosnan that has a smaller cult following."
"Everything, Everything","Romance, Drama","Easy Mode","Widely known young adult adaptation."
"Breakthrough","Biography, Drama","Hard Mode","Faith-based drama with a specific target audience."
"Over the Moon","Animation, Adventure, Fantasy, Musical","Easy Mode","Netflix-distributed animated feature with broad family appeal."
"Wedding Season","Comedy, Romance","Hard Mode","Recent streaming rom-com that did not achieve massive mainstream cultural impact."
"Alien Nation","Science Fiction, Action, Neo-noir, Crime","Hard Mode","Cult sci-fi classic from the late 80s with a dedicated but niche fan base."
"Very Bad Things","Dark Comedy, Crime, Thriller","Hard Mode","A dark comedy cult film from the late 90s that is known by cinephiles but not the general public."
"Escape to Witch Mountain","Adventure, Family, Fantasy, Sci-Fi","Easy Mode","Iconic Disney classic widely recognized across generations."
"Nighthawks","Action, Crime, Thriller","Impossible Mode","A lesser-known 1981 action thriller that is largely forgotten by modern audiences."
"Somewhere","Drama","Hard Mode","Sofia Coppola film known by cinephiles but lacks mainstream blockbuster recognition."
"The Man Who Killed Don Quixote","Adventure, Comedy, Fantasy","Hard Mode","Famous for its troubled production history but not widely viewed by the general public."
"Uncommon Valor","Action, War, Drama","Hard Mode","A 1980s action film with a cult following but lacks modern cultural ubiquity."
"Misbehaviour","Comedy, Drama, History","Hard Mode","A British comedy-drama that had a limited global reach."
"To All the Boys: Always and Forever","Romance, Comedy, Drama","Easy Mode","Extremely popular Netflix franchise with significant global streaming reach."
"Proof of Life","Action, Drama, Thriller","Easy Mode","A mainstream Hollywood thriller starring Russell Crowe and Meg Ryan."
"Assassins","Action, Thriller, Crime","Hard Mode","A mid-90s action thriller that is often overlooked in favor of other Stallone works."
"He Never Died","Action, Comedy, Horror, Fantasy","Impossible Mode","An independent dark comedy horror film with very niche appeal."
"Chemical Hearts","Drama, Romance","Hard Mode","An Amazon original teen drama that did not break into mainstream cultural consciousness."
"Lone Wolf McQuade","Action, Western, Crime","Hard Mode","A classic Chuck Norris action film known by fans of the genre but obscure to the general public."
"Repo Men","Sci-Fi, Action, Thriller","Easy Mode","A mid-budget sci-fi action film featuring recognizable stars like Jude Law and Forest Whitaker."
"John Dies at the End","Horror, Comedy, Sci-Fi","Hard Mode","A cult classic horror-comedy with a significant but niche following."
"Celebrity","Comedy, Drama","Hard Mode","A lesser-known Woody Allen film that is often overlooked despite its star-studded cast."
"The Nest","Drama, Thriller","Hard Mode","A well-regarded independent drama that remains relatively obscure to the general global audience."
"Jennifer 8","Crime, Mystery, Thriller","Hard Mode","A standard 90s thriller that has largely faded from public consciousness."
"13 Sins","Horror, Thriller, Mystery","Hard Mode","A niche horror-thriller that primarily found its audience through streaming platforms."
"Country Strong","Drama, Music","Easy Mode","A mainstream musical drama featuring Gwyneth Paltrow, widely marketed upon its release."
"To Rome with Love","Romance, Comedy","Easy Mode","A prominent Woody Allen film with a high-profile ensemble cast and global distribution."
"Blind Fury","Action, Martial Arts, Thriller","Hard Mode","A cult action film from the late 80s that is popular among niche action cinema fans."
"Death to Smoochy","Crime, Comedy, Drama","Easy Mode","A well-known dark comedy directed by Danny DeVito with high-profile leads like Robin Williams."
"Psycho Goreman","Sci-Fi, Horror, Comedy","Hard Mode","A cult classic horror-comedy with a dedicated but relatively small niche following."
"Wimbledon","Romance, Comedy, Sport","Easy Mode","A mainstream romantic comedy featuring globally recognized stars like Paul Bettany and Kirsten Dunst."
"Formula 51","Action, Comedy, Crime","Hard Mode","A mid-budget action comedy that received moderate visibility but lacks broad cultural permanence."
"7500","Thriller, Drama","Hard Mode","An Amazon Original thriller that reached a decent audience but remains relatively niche."
"Loving Annabelle","Drama, Romance","Impossible Mode","An independent romantic drama primarily known within specific LGBTQ+ film circles."
"Wolfen","Horror, Mystery, Thriller","Impossible Mode","A 1980s horror film that is largely forgotten by the general public today."
"Pecker","Comedy, Drama","Hard Mode","A John Waters film which, while critically noted, remains an arthouse curiosity."
"Down with Love","Romance, Comedy","Easy Mode","A star-studded tribute to 1960s rom-coms that achieved significant mainstream exposure upon release."
"Escape from the Planet of the Apes","Sci-Fi, Action, Drama","Easy Mode","Part of a major, globally recognized science fiction franchise."
"The Baytown Outlaws","Action, Crime, Comedy","Impossible Mode","A direct-to-video style action film that saw very limited distribution and recognition."
"The New York Ripper","Giallo, Horror, Mystery, Thriller","Hard Mode","A cult slasher film by Lucio Fulci known primarily by horror enthusiasts."
"The Extraordinary Adventures of Adèle Blanc-Sec","Adventure, Fantasy, Mystery, Action","Hard Mode","A French adventure film that has a dedicated following but limited mainstream global reach."
"Going the Distance","Romance, Comedy","Easy Mode","A widely released Hollywood romantic comedy featuring mainstream stars."
"The Limehouse Golem","Horror, Mystery, Thriller, Drama","Hard Mode","A British gothic horror-mystery that is well-regarded in its niche but not widely known."
"Nick of Time","Thriller, Action, Crime","Easy Mode","A high-concept thriller starring Johnny Depp that saw significant theatrical release."
"Breathe In","Drama, Romance","Impossible Mode","An independent drama that received limited distribution and remains largely unknown to the general public."
"Alex Strangelove","Comedy, Romance, Drama","Easy Mode","A Netflix original film that gained substantial visibility through the streaming platform."
"Bad Influence","Psychological Thriller, Drama","Hard Mode","A 90s psychological thriller that is recognized by film buffs but is not a household name."
"Gung Ho","Comedy, Drama","Easy Mode","A prominent 80s comedy starring Michael Keaton that was a staple of television syndication."
"Little Monsters","Comedy, Fantasy, Adventure","Easy Mode","A cult classic 80s film that achieved significant mainstream recognition over the decades."
"On Chesil Beach","Drama, Romance","Hard Mode","A mid-budget period drama with a modest international release."
"Shimmer Lake","Crime, Drama, Mystery, Thriller","Impossible Mode","A direct-to-streaming thriller with limited cultural footprint."
"How to Make an American Quilt","Drama, Romance","Easy Mode","A widely recognized ensemble drama from the mid-90s."
"The Frisco Kid","Comedy, Western","Hard Mode","A cult classic Western comedy featuring major stars, but relatively niche today."
"Hope Springs","Comedy, Drama, Romance","Easy Mode","A mainstream commercial success featuring high-profile actors."
"Hart's War","War, Drama, History","Hard Mode","A standard war film that has faded from popular cultural memory."
"Third Person","Drama, Romance","Impossible Mode","An obscure drama despite having a notable cast."
"Tightrope","Crime, Thriller, Drama","Hard Mode","A 1980s neo-noir thriller that is well-known to Clint Eastwood fans but less so to the general public."
"Plunkett & Macleane","Action, Adventure, Comedy, Crime, History","Impossible Mode","A niche period action film that did not gain wide global appeal."
"Just Before I Go","Comedy, Drama","Impossible Mode","A directorial effort by Courteney Cox that saw very limited distribution."
"Fur: An Imaginary Portrait of Diane Arbus","Biography, Drama, Romance","Hard Mode","A niche biographical drama with limited mainstream reach."
"Gloria Bell","Drama, Romance","Hard Mode","A well-regarded indie film but lacks broad global recognition."
"Blue Chips","Drama, Sport","Hard Mode","A cult classic sports film with a specific but limited audience."
"ARQ","Sci-Fi, Thriller","Hard Mode","A Netflix sci-fi thriller known to streaming audiences but generally niche."
"The United States vs. Billie Holiday","Biography, Drama, Music","Easy Mode","A high-profile biographical film that received significant awards season attention."
"Green Card","Romance, Comedy, Drama","Easy Mode","A widely released 90s romantic comedy starring major Hollywood talent."
"The Disappearance of Eleanor Rigby: Them","Drama, Romance","Hard Mode","An experimental multi-part release that remained relatively niche."
"The Brass Teapot","Comedy, Fantasy, Thriller","Impossible Mode","A very obscure fantasy dark comedy that saw minimal distribution."
"Sylvia","Biography, Drama, Romance","Hard Mode","A niche biographical film about Sylvia Plath aimed at a specific literary audience."
"Lost Bullet","Action, Crime, Thriller","Hard Mode","A French action thriller that gained some international notice on Netflix but remains relatively niche."
"The Tigger Movie","Animation, Adventure, Family, Musical","Easy Mode","Part of the globally recognized Winnie the Pooh franchise."
"Noelle","Fantasy, Comedy, Adventure, Family","Easy Mode","A high-profile Disney+ Christmas movie starring Anna Kendrick."
"City Hunter","Action, Comedy, Crime","Hard Mode","Well-known in anime and manga circles but less recognized by the general global public outside of specific regions."
"Charlie Countryman","Action, Crime, Drama, Romance, Thriller","Hard Mode","An indie film with a cult following but limited mainstream exposure."
"Great Balls of Fire!","Biography, Drama, Music","Hard Mode","A biographical film about Jerry Lee Lewis that is fairly well-known but older and niche."
"The Ramen Girl","Comedy, Drama, Romance","Impossible Mode","A lesser-known direct-to-video production with limited distribution."
"Anything Else","Comedy, Romance","Hard Mode","A Woody Allen film that is recognized by cinephiles but obscure to general audiences."
"Only the Lonely","Comedy, Romance, Drama","Hard Mode","A 1991 romantic comedy that is somewhat forgotten despite a notable cast."
"Rapid Fire","Action, Crime, Thriller","Hard Mode","A standard 90s action film that is primarily known by fans of the genre."
"The Private Lives of Pippa Lee","Drama, Romance","Impossible Mode","An independent drama that lacks broad audience recognition."
"The Truth About Cats & Dogs","Comedy, Romance","Easy Mode","A well-known 90s romantic comedy featuring Janeane Garofalo and Uma Thurman."
"The Hard Way","Action, Comedy, Crime","Easy Mode","An action-comedy starring Michael J. Fox and James Woods with significant mainstream play."
"Trespass","Action, Crime, Thriller","Hard Mode","While directed by Walter Hill, it is often overshadowed by other action thrillers of the 90s."
"Surveillance","Mystery, Thriller, Crime","Impossible Mode","Jennifer Lynch's 2008 thriller remains largely obscure to the general public."
"The Assassin","Action, Drama, Wuxia","Hard Mode","A critically acclaimed martial arts film, but remains a niche art-house title."
"For Your Consideration","Comedy, Satire","Hard Mode","A Christopher Guest mockumentary that has a cult following but is not widely known to casual viewers."
"The Other Woman","Comedy, Romance","Easy Mode","A mainstream commercial hit starring Cameron Diaz."
"The Three Caballeros","Animation, Musical, Family, Adventure","Easy Mode","A classic Disney animated feature widely recognized in animation history."
"Greedy","Comedy","Hard Mode","A 90s comedy with Michael J. Fox that has faded from mainstream cultural memory."
"Bleach","Action, Adventure, Fantasy","Easy Mode","Extremely famous due to the global popularity of the anime franchise."
"Made","Comedy, Crime","Hard Mode","Often confused with other films of the same name, lacks major cultural impact."
"This Christmas","Comedy, Drama, Family, Romance","Easy Mode","A well-known holiday ensemble film with a dedicated following."
"Headshot","Action, Martial Arts, Thriller","Hard Mode","Action film known among genre enthusiasts but not widely recognized by the general public."
"Smilla's Sense of Snow","Mystery, Thriller, Drama","Hard Mode","Based on a famous book but the film adaptation remains a niche title."
"The Conspiracy","Horror, Thriller, Mystery","Impossible Mode","A very niche found-footage thriller that lacks mainstream distribution visibility."
"Jamaica Inn","Adventure, Crime, Mystery","Hard Mode","Historical Hitchcock film that is overshadowed by his more famous works."
"You Will Meet a Tall Dark Stranger","Comedy, Drama, Romance","Easy Mode","A Woody Allen film with a notable cast, generally recognizable."
"Special Forces","Action, Adventure, Drama, War","Hard Mode","A French war film that is relatively obscure to international audiences."
"Wakefield","Drama","Hard Mode","An indie drama featuring a major star but remains a niche independent production."
"Cedar Rapids","Comedy","Easy Mode","A widely released comedy with a recognizable cast and decent box office presence."
"A Long Way Down","Comedy, Drama","Hard Mode","Based on a popular book, but the film adaptation had a limited theatrical run and modest mainstream reach."
"Red Corner","Crime, Drama, Thriller","Hard Mode","A 90s thriller that is generally recognized by film buffs but lacks modern cultural ubiquity."
"Norwegian Wood","Drama, Romance","Hard Mode","Acclaimed international cinema, but despite the fame of the source material, the film remains primarily within arthouse circles."
"Shopgirl","Romance, Drama","Hard Mode","Moderate awareness due to Steve Martin, but it is considered a niche drama rather than a mainstream staple."
"The Art of the Steal","Documentary","Hard Mode","Often confused with other films of similar titles, this heist comedy is known mostly to genre fans."
"Art School Confidential","Comedy, Drama, Crime","Hard Mode","A cult comedy with a specific target audience, lacking mass-market recognition."
"Solitary Man","Comedy, Drama","Hard Mode","A well-regarded indie film that flies under the radar of the general public."
"Grabbers","Comedy, Horror, Sci-Fi","Impossible Mode","An Irish creature-feature that is a cult favorite but virtually unknown to the average viewer."
"David Brent: Life on the Road","Comedy, Mockumentary, Music","Hard Mode","Recognized by fans of The Office (UK), but largely unknown to those outside that specific fanbase."
"The Good Neighbor","Thriller, Drama","Impossible Mode","A low-budget psychological thriller that did not receive a wide global release or significant critical attention."
"The Rewrite","Comedy, Romance","Easy Mode","Features a high-profile lead actor, Hugh Grant, in a mainstream romantic comedy format."
"Flypaper","Comedy, Crime, Mystery","Easy Mode","Star-studded cast including Patrick Dempsey and Ashley Judd makes it widely recognizable."
"Mad City","Drama, Thriller, Crime","Easy Mode","A major 90s studio release starring Dustin Hoffman and John Travolta."
"The Red Baron","Biography, War, Action, Drama","Hard Mode","A mid-budget international war drama that did not achieve massive mainstream penetration."
"The Battery","Horror, Drama","Impossible Mode","A low-budget, ultra-independent zombie film known primarily within niche horror circles."
"Shade","Crime, Drama, Thriller","Hard Mode","A crime thriller with a notable cast that suffered from limited distribution and mixed reception."
"The Crossing Guard","Drama, Crime, Thriller","Hard Mode","Directed by Sean Penn, but is a gritty character drama that lacks broad commercial recognition."
"The 9th Life of Louis Drax","Mystery, Thriller, Fantasy","Hard Mode","A supernatural thriller that had a limited theatrical run despite having recognizable stars."
